"classAttribute_attributes_0","classAttribute_attributes_1","classAttribute_baseIri","classAttribute_id","classAttribute_instances","classAttribute_iri","classAttribute_label_IRI-based","classAttribute_label_undefined","classAttribute_pos_0","classAttribute_pos_1","classAttribute_subClasses_0","classAttribute_subClasses_1","classAttribute_subClasses_2","classAttribute_subClasses_3","classAttribute_subClasses_4","classAttribute_subClasses_5","classAttribute_subClasses_6","classAttribute_subClasses_7","classAttribute_subClasses_8","classAttribute_superClasses_0","classAttribute_union_0","classAttribute_union_1"
"external","","http://www.hozo.jp/rdf/startuplife.xml","200","0","http://www.hozo.jp/rdf/startuplife.xml#embassy","embassy","embassy","","","","","","","","","","","","60","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","60","0","http://www.hozo.jp/rdf/startuplife.xml#goverment","goverment","goverment","1086.05728709","1885.81182625","100","200","188","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","45","0","http://www.hozo.jp/rdf/startuplife.xml#not-equal","not-equal","not-equal","","","","","","","","","","","","29","",""
"union","anonymous","","214","0","","","","1089.38892295","730.812541837","","","","","","","","","","","9","69"
"external","","http://www.hozo.jp/rdf/startuplife.xml","64","0","http://www.hozo.jp/rdf/startuplife.xml#Rent_a_house","Rent_a_house","Rent a house","","","","","","","","","","","","20","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","144","0","http://www.hozo.jp/rdf/startuplife.xml#bank_card","bank_card","bank card","","","","","","","","","","","","88","",""
"union","anonymous","","165","0","","","","1666.40507441","-120.831446022","","","","","","","","","","","47","49"
"union","anonymous","","114","0","","","","1099.58026824","56.3549812201","","","","","","","","","","","96","68"
"external","","http://www.hozo.jp/rdf/startuplife.xml","12","0","http://www.hozo.jp/rdf/startuplife.xml#transportion","transportion","transportion","","","","","","","","","","","","8","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","145","0","http://www.hozo.jp/rdf/startuplife.xml#credit_card","credit_card","credit card","","","","","","","","","","","","88","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","32","0","http://www.hozo.jp/rdf/startuplife.xml#Insurance","Insurance","Insurance","519.128642686","802.182605855","31","34","","","","","","","","9","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","191","0","http://www.hozo.jp/rdf/startuplife.xml#Buy","Buy","Buy","","","","","","","","","","","","18","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","123","0","http://www.hozo.jp/rdf/startuplife.xml#Express","Express","Express","","","","","","","","","","","","5","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","146","0","http://www.hozo.jp/rdf/startuplife.xml#bus_card","bus_card","bus card","","","","","","","","","","","","88","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","67","0","http://www.hozo.jp/rdf/startuplife.xml#Time_interval","Time_interval","Time interval","1489.91772737","167.099682484","","","","","","","","","","17","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","79","0","http://www.hozo.jp/rdf/startuplife.xml#Homecountry_Money","Homecountry_Money","Homecountry Money","","","","","","","","","","","","78","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","186","0","http://www.hozo.jp/rdf/startuplife.xml#smart_phone","smart_phone","smart phone","","","","","","","","","","","","83","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","29","0","http://www.hozo.jp/rdf/startuplife.xml#RelationalConcept","RelationalConcept","RelationalConcept","2053.8580795","-163.213303297","41","43","45","47","49","28","","","","","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","105","0","http://www.hozo.jp/rdf/startuplife.xml#ATM","ATM","ATM","","","","","","","","","","","","1","",""
"external","","http://www.hozo.jp/rdf/startuplife.xml","167","0","http://www.hozo.jp/rdf/startuplife.xml#visa","visa","visa","","","","","","","","","","","","89","",""
